Modelo,fit_s,predict_train_s,predict_validacion_s,predict_test_s
KNN,0.005390800011809915,0.0510264000040479,0.005048899998655543,0.004519400012213737
Árbol de decisión,0.004943799984175712,0.0020373000006657094,0.0021779999951831996,0.002206900011515245
Random Forest,0.07655160001013428,0.015156099980231375,0.014664299989817664,0.015451000013854355
Gradient Boosting,0.05083119997289032,0.0023098000092431903,0.0019862999906763434,0.0019546000112313777
Dummy mayoritario,0.0041856000025291,0.002543399983551353,0.001882799988379702,0.0019204000127501786
