fold,filas_ajuste,filas_evaluacion,MAE,MSE,R2,ajuste_s,evaluacion_s
1,168085,42022,1133.8064168431613,7902707.5707710525,0.9846311542483099,16.72032904624939,0.3730759620666504
2,168085,42022,1141.5715195601433,7933292.163498362,0.9846398048419135,16.970327377319336,0.37392616271972656
3,168086,42021,1116.4643285730529,7676202.631828303,0.9851622115621516,16.77655839920044,0.39519691467285156
4,168086,42021,1122.322236479549,7600747.139377485,0.9851879298751851,16.81514000892639,0.37134647369384766
5,168086,42021,1117.0977840791434,7558428.585864428,0.9853430807134762,16.82917332649231,0.37288331985473633
