Métrica,Media CV,Desviación CV (ddof=1),Mínimo fold,Máximo fold,Validación original,Δ media CV−validación
Accuracy,0.8577543406977369,0.031084892603272532,0.8269230769230769,0.9074074074074074,0.9038461538461539,-0.04609181314841693
Precision,0.7697874493927126,0.06337448991824324,0.6842105263157895,0.8461538461538461,0.8461538461538461,-0.07636639676113355
Recall,0.7713725490196078,0.08872809686345348,0.6666666666666666,0.8666666666666667,0.7857142857142857,-0.014341736694677865
F1,0.7664502003990326,0.04660690196379626,0.7142857142857143,0.8387096774193549,0.8148148148148148,-0.048364614415782214
