,Rango validación,Rango test,Recall validación,Recall test,F1 validación,F1 test,Δ Recall test−val,Δ F1 test−val
Gradient Boosting,1,2,0.7857142857142857,0.8,0.8148148148148148,0.8571428571428571,0.014285714285714346,0.042328042328042326
KNN,2,4,0.7142857142857143,0.6666666666666666,0.7407407407407407,0.7407407407407407,-0.04761904761904767,0.0
Random Forest,1,1,0.7857142857142857,0.8666666666666667,0.8148148148148148,0.8666666666666667,0.080952380952381,0.05185185185185193
Árbol de decisión,3,3,0.6428571428571429,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.09047619047619038,0.06666666666666665
