Fold,Accuracy,Precision,Recall,F1,Train Accuracy,Train Precision,Train Recall,Train F1,fit_s,score_s
1,0.8490566037735849,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9951923076923077,1.0,0.9838709677419355,0.991869918699187,0.04836320877075195,0.005658864974975586
2,0.84,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.995260663507109,1.0,0.984375,0.9921259842519685,0.04567694664001465,0.006144046783447266
3,0.9074074074074074,0.8125,0.8666666666666667,0.8387096774193549,0.9951690821256038,0.9846153846153847,1.0,0.9922480620155039,0.04673314094543457,0.0057985782623291016
4,0.8269230769230769,0.6842105263157895,0.8125,0.7428571428571429,0.9952153110047847,1.0,0.9841269841269841,0.992,0.04853963851928711,0.005092144012451172
5,0.8653846153846154,0.8461538461538461,0.6875,0.7586206896551724,0.9952153110047847,1.0,0.9841269841269841,0.992,0.047885894775390625,0.0045778751373291016
