,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1
Conjunto,train,validacion,train,validacion,train,validacion,train,validacion
Modelo,,,,,,,,
KNN,0.9080459770114943,0.8653846153846154,0.9104477611940298,0.7692307692307693,0.7721518987341772,0.7142857142857143,0.8356164383561644,0.7407407407407407
Árbol de decisión,0.9961685823754789,0.8269230769230769,1.0,0.6923076923076923,0.9873417721518988,0.6428571428571429,0.9936305732484076,0.6666666666666666
Random Forest,0.9961685823754789,0.9038461538461539,1.0,0.8461538461538461,0.9873417721518988,0.7857142857142857,0.9936305732484076,0.8148148148148148
Gradient Boosting,0.9885057471264368,0.9038461538461539,0.975,0.8461538461538461,0.9873417721518988,0.7857142857142857,0.9811320754716981,0.8148148148148148
Dummy mayoritario,0.6973180076628352,0.7307692307692307,0.0,0.0,0.0,0.0,0.0,0.0
